id,name,category,subcategory,forms,strengths,routes,population,aware,notes
"EML-B-001","Dexamethasone","Antiallergics","Anti-anaphylactic","Injection; Tablet; Oral liquid","4 mg/mL; 0.5 mg; 4 mg; 5 mg/5 mL","IV; IM; Oral","both","",""
"EML-B-002","Epinephrine (Adrenaline)","Antiallergics","Anti-anaphylactic","Injection","1 mg/mL","IM; IV","both","",""
"EML-B-003","Hydrocortisone","Antiallergics","Anti-anaphylactic","Powder for injection; Injection","100 mg","IV; IM","both","",""
"EML-B-004","Prednisolone","Antiallergics","Anti-anaphylactic","Tablet; Oral liquid","5 mg; 25 mg; 5 mg/mL; 15 mg/5 mL","Oral","both","",""
"EML-B-005","Chlorphenamine","Antiallergics","Anti-histamine","Injection; Oral liquid; Tablet","10 mg/mL; 2 mg/5 mL","IV; IM; Oral","children","",""
"EML-B-006","Loratadine","Antiallergics","Anti-histamine","Oral liquid; Tablet","1 mg/mL; 10 mg","Oral","children","",""
"EML-C-001","Carbamazepine","Anticonvulsants","","Tablet; Oral liquid; Chewable","100 mg; 200 mg; 100 mg/5 mL","Oral","both","",""
"EML-C-002","Diazepam","Anticonvulsants","","Injection; Tablet; Rectal gel","5 mg/mL; 5 mg; 2.5 mg; 10 mg","IV; Oral; PR","both","",""
"EML-C-003","Levetiracetam","Anticonvulsants","","Tablet; Oral solution","250 mg; 500 mg; 750 mg; 1000 mg; 100 mg/mL","Oral","both","",""
"EML-C-004","Lorazepam","Anticonvulsants","","Injection","2 mg/mL; 4 mg/mL","IV; IM","both","",""
"EML-C-005","Magnesium sulfate","Anticonvulsants","","Injection","50%; 20%; 500 mg/mL","IV; IM","both","",""
"EML-C-006","Phenobarbital","Anticonvulsants","","Injection; Oral liquid; Tablet","30 mg/mL; 60 mg/mL; 15 mg; 30 mg; 60 mg","IV; Oral","both","",""
"EML-C-007","Phenytoin","Anticonvulsants","","Capsule; Injection; Oral liquid; Tablet","25 mg; 50 mg; 100 mg; 300 mg; 50 mg/mL; 125 mg/5 mL","Oral; IV","both","",""
"EML-C-008","Sodium valproate","Anticonvulsants","","Oral liquid; Tablet (enteric-coated); Capsule","200 mg/5 mL; 100 mg; 200 mg; 500 mg","Oral","both","",""
"EML-C-009","Midazolam (oromucosal)","Anticonvulsants","","Solution for oromucosal admin","5 mg/mL; 10 mg/mL","Buccal","both","",""
"EML-D-001","Charcoal (activated)","Antidotes","Non-specific","Capsule; Powder","260 mg; 5 g","Oral","both","",""
"EML-D-002","Acetylcysteine","Antidotes","Specific","Injection; Oral liquid","200 mg/mL; 10%; 20%","IV; Oral","both","",""
"EML-D-003","Naloxone","Antidotes","Specific","Injection","400 mcg","IV; IM","both","",""
"EML-D-004","Calcium gluconate","Antidotes","Specific","Injection","100 mg/mL","IV","both","",""
"EML-D-005","Flumazenil","Antidotes","Specific","Injection","0.1 mg/mL","IV","both","",""
"EML-E-001","Metronidazole","Anti-infectives","Antiamoebic","Oral liquid; Tablet; Injection","200 mg/5 mL; 200 mg; 400 mg; 500 mg","Oral; IV","both","Access",""
"EML-E-002","Tinidazole","Anti-infectives","Antiamoebic","Tablet","500 mg","Oral","both","",""
"EML-E-003","Albendazole","Anti-infectives","Anthelminthic","Tablet; Oral liquid; Chewable","200 mg; 400 mg; 100 mg/5 mL","Oral","both","",""
"EML-E-004","Ivermectin","Anti-infectives","Anthelminthic","Tablet","3 mg","Oral","both","",""
"EML-E-005","Mebendazole","Anti-infectives","Anthelminthic","Tablet; Oral liquid","100 mg; 500 mg; 100 mg/5 mL","Oral","both","",""
"EML-E-006","Praziquantel","Anti-infectives","Anthelminthic","Tablet","600 mg","Oral","both","",""
"EML-E-007","Amoxicillin","Anti-infectives","Antibacterial Access","Capsule; Tablet; Powder for oral liquid; Powder for injection","250 mg; 500 mg; 125 mg/5 mL; 250 mg/5 mL","Oral; IV","both","Access",""
"EML-E-008","Amoxicillin + Clavulanic acid","Anti-infectives","Antibacterial Access","Oral liquid; Tablet; Powder for injection","250/125 mg; 500/125 mg; 875/125 mg","Oral; IV","both","Access",""
"EML-E-009","Ampicillin","Anti-infectives","Antibacterial Access","Capsule; Powder for injection","250 mg; 500 mg; 1 g","Oral; IV","both","Access",""
"EML-E-010","Benzylpenicillin","Anti-infectives","Antibacterial Access","Powder for injection","600 mg; 3 g","IV; IM","both","Access",""
"EML-E-011","Cefalexin","Anti-infectives","Antibacterial Access","Capsule; Oral suspension","250 mg; 500 mg; 125 mg/5 mL","Oral","both","Access",""
"EML-E-012","Cloxacillin","Anti-infectives","Antibacterial Access","Capsule; Powder for injection","250 mg; 500 mg","Oral; IV","both","Access",""
"EML-E-013","Doxycycline","Anti-infectives","Antibacterial Access","Capsule","100 mg","Oral","both","Access","Children <8 only if life-threatening"
"EML-E-014","Gentamicin","Anti-infectives","Antibacterial Access","Injection","40 mg/mL","IV; IM","both","Access",""
"EML-E-015","Nitrofurantoin","Anti-infectives","Antibacterial Access","Tablet; Suspension","50 mg; 100 mg","Oral","both","Access",""
"EML-E-016","Sulfamethoxazole + Trimethoprim","Anti-infectives","Antibacterial Access","Tablet; Oral liquid; Injection","400/80 mg; 800/160 mg; 200/40 mg/5 mL","Oral; IV","both","Access",""
"EML-E-017","Azithromycin","Anti-infectives","Antibacterial Watch","Tablet; Powder for oral liquid","250 mg; 500 mg; 200 mg/5 mL","Oral","both","Watch",""
"EML-E-018","Ceftriaxone","Anti-infectives","Antibacterial Watch","Powder for injection","250 mg; 500 mg; 1 g","IV; IM","both","Watch",""
"EML-E-019","Ciprofloxacin","Anti-infectives","Antibacterial Watch","Tablet; Injection","250 mg; 500 mg; 2 mg/mL","Oral; IV","adult","Watch",""
"EML-E-020","Clarithromycin","Anti-infectives","Antibacterial Watch","Tablet; Suspension","250 mg; 500 mg","Oral","both","Watch",""
"EML-E-021","Meropenem","Anti-infectives","Antibacterial Reserve","Powder for injection","500 mg; 1 g","IV","adult","Reserve",""
"EML-E-022","Vancomycin","Anti-infectives","Antibacterial Reserve","Capsule; Powder for injection","125 mg; 250 mg; 500 mg; 1 g","Oral; IV","both","Reserve",""
"EML-E-023","Linezolid","Anti-infectives","Antibacterial Reserve","Tablet; Solution for injection; Oral suspension","600 mg; 200 mg/100 mL","Oral; IV","both","Reserve",""
"EML-E-024","Fluconazole","Anti-infectives","Antifungal","Capsule; Injection; Oral liquid","50 mg; 100 mg; 150 mg; 200 mg; 2 mg/mL","Oral; IV","both","",""
"EML-E-025","Nystatin","Anti-infectives","Antifungal","Oral liquid; Lozenge; Pessary; Tablet","100,000 units/mL","Oral; Vaginal","both","",""
"EML-E-026","Artemether + Lumefantrine","Anti-infectives","Antimalarial","Tablet","20/120 mg; 40/240 mg; 80/480 mg","Oral","both","",""
"EML-E-027","Artesunate","Anti-infectives","Antimalarial","Powder for injection; Suppository","60 mg; 50 mg; 100 mg; 200 mg","IV; IM; PR","both","",""
"EML-E-028","Quinine","Anti-infectives","Antimalarial","Injection; Tablet","300 mg/mL; 300 mg","IV; Oral","both","",""
"EML-E-029","Isoniazid","Anti-infectives","Antituberculosis","Tablet; Oral liquid","100 mg; 300 mg; 50 mg/5 mL","Oral","both","",""
"EML-E-030","Rifampicin","Anti-infectives","Antituberculosis","Capsule; Tablet; Oral liquid","150 mg; 300 mg; 20 mg/mL","Oral","both","",""
"EML-E-031","Pyrazinamide","Anti-infectives","Antituberculosis","Tablet","400 mg; 500 mg","Oral","both","",""
"EML-E-032","Ethambutol","Anti-infectives","Antituberculosis","Tablet; Oral liquid","100 mg; 400 mg; 25 mg/mL","Oral","both","",""
"EML-E-033","Aciclovir","Anti-infectives","Antiviral","Cream; Oral liquid; Tablet; Powder for injection","5%; 200 mg; 400 mg; 800 mg; 250 mg","Topical; Oral; IV","both","",""
"EML-E-034","Dolutegravir","Anti-infectives","Antiretroviral","Tablet","50 mg; 10 mg","Oral","both","",""
"EML-E-035","Tenofovir + Lamivudine + Dolutegravir","Anti-infectives","Antiretroviral FDC","Tablet","300/300/50 mg","Oral","adult","",""
"EML-E-036","Lamivudine + Zidovudine","Anti-infectives","Antiretroviral FDC","Tablet","30/60 mg; 150/300 mg","Oral","both","",""
"EML-F-001","Amlodipine","Cardiovascular","Antihypertensive","Tablet","5 mg; 10 mg","Oral","both","",""
"EML-F-002","Lisinopril","Cardiovascular","Antihypertensive","Tablet","5 mg; 10 mg","Oral","adult","",""
"EML-F-003","Losartan","Cardiovascular","Antihypertensive","Tablet","25 mg; 50 mg","Oral","adult","",""
"EML-F-004","Atenolol","Cardiovascular","Anti-arrhythmic / HTN","Tablet","25 mg; 50 mg; 100 mg","Oral","adult","",""
"EML-F-005","Bisoprolol","Cardiovascular","Anti-anginal / HF","Tablet","1.25 mg; 5 mg; 12.5 mg","Oral","adult","",""
"EML-F-006","Carvedilol","Cardiovascular","Heart failure","Tablet","6.25 mg; 12.5 mg; 25 mg","Oral","adult","",""
"EML-F-007","Digoxin","Cardiovascular","Heart failure / Arrhythmia","Tablet; Injection; Oral liquid","62.5 mcg; 125 mcg; 250 mcg; 50 mcg/mL","Oral; IV","both","",""
"EML-F-008","Furosemide","Cardiovascular","Diuretic / HF","Tablet; Injection","20 mg; 40 mg; 10 mg/mL","Oral; IV","both","",""
"EML-F-009","Spironolactone","Cardiovascular","Diuretic","Tablet","25 mg","Oral","both","",""
"EML-F-010","Hydrochlorothiazide","Cardiovascular","Diuretic","Tablet","12.5 mg; 25 mg","Oral","both","",""
"EML-F-011","Atorvastatin","Cardiovascular","Lipid-lowering","Tablet","10 mg; 20 mg; 40 mg","Oral","adult","",""
"EML-F-012","Simvastatin","Cardiovascular","Lipid-lowering","Tablet","10 mg; 20 mg; 40 mg","Oral","adult","",""
"EML-F-013","Acetylsalicylic acid","Cardiovascular","Antiplatelet","Tablet","75 mg; 100 mg; 300 mg","Oral","adult","",""
"EML-F-014","Clopidogrel","Cardiovascular","Antiplatelet","Tablet","75 mg; 300 mg","Oral","adult","",""
"EML-F-015","Enoxaparin","Cardiovascular","Anticoagulant","Injection","20 mg; 40 mg; 60 mg; 80 mg","SC","adult","",""
"EML-F-016","Warfarin","Cardiovascular","Anticoagulant","Tablet","1 mg; 2 mg; 5 mg","Oral","both","",""
"EML-F-017","Heparin","Cardiovascular","Anticoagulant","Injection","1000 units/mL; 5000 units/mL","IV; SC","both","",""
"EML-F-018","Dopamine","Cardiovascular","Heart failure","Injection","40 mg/mL","IV","both","",""
"EML-F-019","Dobutamine","Cardiovascular","Heart failure","Injection","5 mg/mL","IV","adult","",""
"EML-F-020","Glyceryl trinitrate","Cardiovascular","Anti-anginal","Tablet (sublingual); Patch","500 mcg; 0.1 mg; 0.2 mg; 0.4 mg","SL; Transdermal","adult","",""
"EML-G-001","Omeprazole","Gastrointestinal","Antiulcer","Capsule; Tablet; Powder for injection","10 mg; 20 mg; 40 mg","Oral; IV","both","",""
"EML-G-002","Ranitidine","Gastrointestinal","Antiulcer","Tablet; Injection; Oral liquid","150 mg; 300 mg; 25 mg/mL","Oral; IV","both","",""
"EML-G-003","Metoclopramide","Gastrointestinal","Antiemetic","Tablet; Injection; Oral liquid","10 mg; 5 mg/mL","Oral; IV","both","",""
"EML-G-004","Ondansetron","Gastrointestinal","Antiemetic","Tablet; Injection; Oral liquid","4 mg; 8 mg; 2 mg/mL","Oral; IV","both","",""
"EML-G-005","Oral rehydration salts","Gastrointestinal","Diarrhoea","Powder for dilution","WHO formula","Oral","both","",""
"EML-G-006","Zinc sulfate","Gastrointestinal","Diarrhoea","Tablet","20 mg","Oral","children","",""
"EML-G-007","Lactulose","Gastrointestinal","Laxative","Oral liquid","68%","Oral","adult","",""
"EML-G-008","Senna","Gastrointestinal","Laxative","Oral liquid; Tablet","7.5 mg","Oral","both","",""
"EML-H-001","Salbutamol","Respiratory","Antiasthmatic","Inhaler; Nebuliser solution; Injection; Tablet","100 mcg/dose; 2.5 mg; 5 mg; 2 mg","Inhaled; Nebulised; IV; Oral","both","",""
"EML-H-002","Ipratropium bromide","Respiratory","Antiasthmatic","Metered dose inhaler; Nebuliser","20 mcg/dose; 0.02%","Inhaled; Nebulised","both","",""
"EML-H-003","Budesonide","Respiratory","Antiasthmatic","Inhalation aerosol","100 mcg; 200 mcg","Inhaled","both","",""
"EML-H-004","Beclomethasone","Respiratory","Antiasthmatic","Inhaler","100 mcg; 200 mcg","Inhaled","adult","",""
"EML-H-005","Salmeterol + Fluticasone","Respiratory","Antiasthmatic","Inhalation","25/125 mcg; 50/250 mcg","Inhaled","both","",""
"EML-I-001","Metformin","Endocrine","Oral antidiabetic","Tablet","500 mg; 1 g","Oral","both","",""
"EML-I-002","Glibenclamide","Endocrine","Oral antidiabetic","Tablet","5 mg","Oral","adult","",""
"EML-I-003","Insulin (soluble)","Endocrine","Insulin","Injection","100 units/mL","SC; IV","both","",""
"EML-I-004","Insulin glargine","Endocrine","Insulin","Injection","100 units/mL","SC","adult","",""
"EML-I-005","Insulin detemir","Endocrine","Insulin","Injection","100 units/mL","SC","adult","",""
"EML-I-006","Glucagon","Endocrine","Hypoglycaemia","Injection","1 mg/mL","IM; IV","both","",""
"EML-I-007","Levothyroxine","Endocrine","Thyroid","Tablet","25 mcg; 50 mcg; 100 mcg","Oral","both","",""
"EML-I-008","Carbimazole","Endocrine","Antithyroid","Tablet","5 mg","Oral","both","",""
"EML-I-009","Oxytocin","Endocrine","Uterotonic","Injection","10 units/mL","IV; IM","adult","",""
"EML-I-010","Misoprostol","Endocrine","Uterotonic","Tablet","200 mcg","Oral; PR; PV","adult","",""
"EML-J-001","Ferrous salt","Blood","Antianaemia","Tablet; Oral liquid","Equivalent 60 mg iron; 25 mg iron/mL","Oral","both","",""
"EML-J-002","Folic acid","Blood","Antianaemia","Tablet; Injectable","5 mg; 400 mcg; 1 mg","Oral; IV","both","",""
"EML-J-003","Hydroxocobalamin","Blood","Antianaemia","Injection","1 mg","IM","both","",""
"EML-J-004","Tranexamic acid","Blood","Haemostatic","Injection","100 mg/mL","IV","adult","",""
"EML-J-005","Phytomenadione (Vitamin K1)","Blood","Coagulation","Injection; Tablet","1 mg/mL; 10 mg","IV; IM; Oral","both","",""
"EML-K-001","Paracetamol","Pain","Analgesic/Antipyretic","Tablet; Oral liquid; Suppository; Injection","500 mg; 1 g; 120 mg/5 mL; 125 mg; 250 mg","Oral; PR; IV","both","",""
"EML-K-002","Ibuprofen","Pain","NSAID","Tablet; Oral liquid","200 mg; 400 mg; 100 mg/5 mL","Oral","both","","Not for children < 3 months"
"EML-K-003","Diclofenac","Pain","NSAID","Tablet; Injection; Suppository","50 mg; 75 mg","Oral; IM; PR","adult","",""
"EML-K-004","Morphine","Pain","Opioid","Injection; Tablet; Oral liquid","5 mg; 10 mg; 15 mg","IV; IM; SC; Oral","adult","",""
"EML-K-005","Tramadol","Pain","Opioid","Capsule; Injection","50 mg; 100 mg","Oral; IV","adult","",""
"EML-L-001","Clotrimazole","Dermatological","Antifungal","Cream; Pessary","1%; 100 mg; 500 mg","Topical; Vaginal","both","",""
"EML-L-002","Mupirocin","Dermatological","Anti-infective","Cream; Ointment","2%","Topical","both","",""
"EML-L-003","Silver sulfadiazine","Dermatological","Anti-infective","Cream","1%","Topical","both","",""
"EML-L-004","Betamethasone","Dermatological","Anti-inflammatory","Cream; Ointment","0.1%","Topical","both","",""
"EML-L-005","Calamine","Dermatological","Antipruritic","Lotion","8%; 15%","Topical","both","",""
"EML-L-006","Permethrin","Dermatological","Scabicide","Cream; Lotion","5%; 1%","Topical","both","",""
"EML-M-001","BCG vaccine","Immunologicals","Vaccines","Lyophilized injection","10/20 dose","ID","both","",""
"EML-M-002","Tetanus vaccine","Immunologicals","Vaccines","Liquid injection","10-dose vial","IM","both","",""
"EML-M-003","Hepatitis B vaccine","Immunologicals","Vaccines","Injection","—","IM","both","",""
"EML-M-004","Measles vaccine","Immunologicals","Vaccines","Lyophilized injection","10-dose","SC","both","",""
"EML-M-005","Yellow fever vaccine","Immunologicals","Vaccines","Lyophilized injection","10-dose","SC","both","",""
